RunNumber,EventNumber,LumiBlock,TimeStamp,TimeStampNS,BCID,extL1ID,triggerType,mu_pt,mu_eta,mu_phi,mu_E,mu_charge
479103,0,542,1719504765,92603755,3017,83916250,136,[2.2881200313568115],[-1.4433808326721191],[-0.7120732665061951],[5.116318225860596],[-1]
479103,0,542,1719504773,773176285,887,101024929,148,"[7.190438270568848, 5.409719467163086, 2.5074169635772705]","[-0.3280351459980011, -0.27907830476760864, 1.7059996128082275]","[1.761690616607666, 1.6597553491592407, -1.160000205039978]","[7.581527233123779, 5.622750282287598, 7.132476329803467]","[1, 1, -1]"
479103,0,542,1719504780,864333565,3128,134320533,132,"[2.7228102684020996, 2.7529380321502686, 2.698315143585205]","[1.3604334592819214, 2.1646759510040283, -1.4282567501068115]","[0.12287534028291702, -2.919778347015381, 1.5144681930541992]","[5.6568522453308105, 12.14995288848877, 5.952270984649658]","[1, 1, -1]"
479103,0,542,1719504794,775730420,1887,184556454,132,"[3.1087746620178223, 2.8031651973724365]","[-0.9332978129386902, 2.199232339859009]","[-0.15420083701610565, 0.42946362495422363]","[4.565115451812744, 12.795451164245605]","[1, -1]"
479103,0,542,1719504796,549994420,72,184716289,132,"[3.2855522632598877, 2.6713144779205322]","[-0.5826525688171387, -2.183548927307129]","[1.9178122282028198, -1.800788402557373]","[3.860651731491089, 12.008554458618164]","[1, 1]"
479103,0,542,1719504801,813234800,2867,201518415,132,"[6.23914909362793, 2.798827648162842, 2.223909378051758, 2.1993966102600098]","[0.47346606850624084, 1.9152748584747314, -2.3869707584381104, -2.2813456058502197]","[0.8141037821769714, 1.374584674835205, 2.5056512355804443, 3.0074570178985596]","[6.952428817749023, 9.707056999206543, 12.201260566711426, 10.8787202835083]","[1, -1, 1, 1]"
479103,0,542,1719504802,497939765,2338,201580200,132,"[3.226710319519043, 12.775333404541016]","[-1.3155372142791748, 2.0755527019500732]","[0.7154038548469543, 0.6387540698051453]","[6.446352958679199, 51.70466995239258]","[1, 1]"
479103,0,543,1719504812,306757530,2649,235117965,132,"[4.965304374694824, 2.7908432483673096]","[2.2998180389404297, -2.312438726425171]","[2.9551618099212646, -1.781381607055664]","[25.007095336914062, 14.230961799621582]","[-1, -1]"
479103,0,543,1719504839,455771455,194,319202970,132,[3.946808099746704],[0.21526631712913513],[-0.9243274927139282],[4.039990425109863],[-1]
479103,0,543,1719504840,986809585,1240,335668834,132,"[2.6996734142303467, 4.951140880584717]","[-1.732919454574585, -1.8904645442962646]","[1.1152859926223755, 0.7681228518486023]","[7.8755388259887695, 16.768476486206055]","[1, 1]"
479103,0,544,1719504880,611670340,2955,469859078,140,"[48.027374267578125, 2.1204960346221924, 2.616995096206665]","[1.6880851984024048, 1.4627240896224976, 1.646736979484558]","[-0.6182907819747925, -2.4834396839141846, 0.32058998942375183]","[134.33229064941406, 4.824553966522217, 7.0440354347229]","[1, -1, -1]"
479103,0,544,1719504883,539071955,3322,470121792,132,[],[],[],[],[]
479103,0,544,1719504886,652030005,2532,486730110,136,[2.3771026134490967],[-1.813407063484192],[-0.05308648943901062],[7.481962203979492],[1]
479103,0,544,1719504905,299571005,2439,553721508,136,"[13.660968780517578, 12.418622016906738, 4.02638578414917]","[-2.0758790969848633, -2.136289358139038, 2.04616641998291]","[-2.3212978839874268, -2.5172903537750244, -1.41139817237854]","[55.306514739990234, 53.313560485839844, 15.838964462280273]","[1, -1, 1]"
479103,0,544,1719504908,546456140,1925,554012813,156,"[27.053632736206055, 13.6989164352417, 9.756587982177734, 7.7619218826293945]","[-0.5758671760559082, -0.5417381525039673, 0.8100248575210571, -0.514081597328186]","[1.245955467224121, 1.1754512786865234, 0.6075472831726074, 1.1949018239974976]","[31.66495704650879, 15.759096145629883, 13.136748313903809, 8.811003684997559]","[-1, -1, 1, 1]"
479103,0,545,1719504924,968806455,449,620803053,132,"[1119.640869140625, 7.545941352844238, 2.4252755641937256, 1.9603936672210693]","[-0.7515556216239929, -1.2042218446731567, -1.9993284940719604, 2.228163003921509]","[-2.189915895462036, 0.23600006103515625, 0.11572187393903732, -0.9017766714096069]","[1451.014404296875, 13.71171760559082, 9.11906909942627, 9.205168724060059]","[1, -1, 1, -1]"
479103,0,545,1719504944,41565425,3171,671503961,136,"[46.48672866821289, 5.422613143920898, 2.6094024181365967]","[-1.6926453113555908, 0.8509598970413208, -1.1000864505767822]","[0.960727334022522, 2.0629642009735107, 0.4041996896266937]","[130.5782012939453, 7.5080766677856445, 4.355419158935547]","[1, -1, -1]"
